"Block","Treatment","Surface_area_cm2","Species","Tissue","ID","Total_mass_g","Growth_form"
1,"F0.5",400,"Ledpal","NewStems","1632",0.974,"Evergreen"
1,"F0.5",400,"Ledpal","OldLeaves","1633",2.037,"Evergreen"
1,"F0.5",400,"Ledpal","OldStems","1634",16.685,"Evergreen"
1,"F0.5",400,"Ledpal","Inflor","1635",0.427,"Evergreen"
1,"F0.5",400,"Ledpal","BelowStem","1636",32.056,"Evergreen"
1,"F0.5",400,"Vacvit","NewLeaves","1641",2.18,"Evergreen"
1,"F0.5",400,"Vacvit","NewStems","1642",0.521,"Evergreen"
1,"F0.5",400,"Vacvit","OldLeaves","1643",2.221,"Evergreen"
1,"F0.5",400,"Vacvit","OldStems","1644",3.564,"Evergreen"
1,"F0.5",400,"Vacvit","Inflor","1670",0.173,"Evergreen"
1,"F0.5",400,"Vacvit","BelowStem","1645",2.872,"Evergreen"
1,"F0.5",400,"Castet","NewStems",NA,0,"Evergreen"
1,"F0.5",400,"Castet","OldStems",NA,0,"Evergreen"
1,"F0.5",400,"Castet","Inflor",NA,0,"Evergreen"
1,"F0.5",400,"Castet","BelowStem",NA,0,"Evergreen"
1,"F0.5",400,"OtherEvergreen","NewLeaves","1652",0.147,"Evergreen"
1,"F0.5",400,"OtherEvergreen","NewStems","1653",0.059,"Evergreen"
1,"F0.5",400,"OtherEvergreen","OldLeaves","1654",0.079,"Evergreen"
1,"F0.5",400,"OtherEvergreen","OldStems","1655",0.132,"Evergreen"
1,"F0.5",400,"OtherEvergreen","Inflor",NA,0,"Evergreen"
1,"F0.5",400,"OtherEvergreen","BelowStem","1656",0.014,"Evergreen"
1,"F0.5",400,"Rubcha","LeavesStems","1699",0.389,"Forb"
1,"F0.5",400,"Rubcha","InflorStalks",NA,0,"Forb"
1,"F0.5",400,"Rubcha","BelowStem","1701",1.494,"Forb"
1,"F0.5",400,"Petfri","LeavesStems",NA,0,"Forb"
1,"F0.5",400,"Petfri","InflorStalks",NA,0,"Forb"
1,"F0.5",400,"Petfri","BelowStem",NA,0,"Forb"
1,"F0.5",400,"OtherForb","LeavesStems","1704",0.187,"Forb"
1,"F0.5",400,"OtherForb","InflorStalks","1705",0.089,"Forb"
