"date_collected","site","block","treatment","quad","core_surface_area_cm2","organic_core_depth_cm","mineral_core_depth_cm","depth_from_mineral_to_permafrost_cm","depth_of_core_to_permafrost_cm","ice_depth_accidentally_cored_cm","dry_mass_aboveground_g","dry_mass_organic_horizon_g","dry_mass_mineral_horizon_g","soil_notes"
2024-07-31,"MAT06",3,"F0.5",1,16.61902513749,12.5,NA,0,12.5,2.5,0.893,8.245,NA,"Subtracted 2.5 cm from total depth of 15 cm; all mineral is permafrost"
2024-07-31,"MAT06",3,"F0.5",2,16.61902513749,9,32,0,41,NA,0.302,13.583,325.313,NA
2024-07-31,"MAT06",3,"F0.5",3,16.61902513749,12,30,10,52,NA,1.3,NA,437.793,NA
2024-08-01,"MAT06",3,"F0.5",4,16.61902513749,10,18.5,0,28.5,NA,0.46,15.419,148.508,NA
2024-07-31,"MAT06",3,"F1",1,16.61902513749,9,27,0,36,NA,0.01,28.154,191.363,NA
2024-07-31,"MAT06",3,"F1",2,16.61902513749,5,25.5,0,30.5,NA,0.133,17.739,117.558,NA
2024-07-31,"MAT06",3,"F1",3,16.61902513749,12,21.5,0,33.5,2.5,0.428,11.64,67.912,"Subtracted 2.5 cm from total mineral depth of 24 cm"
2024-07-31,"MAT06",3,"F1",4,16.61902513749,10.5,21,0,31.5,NA,0.074,11.022,48.812,NA
2024-07-31,"MAT06",3,"F2",1,16.61902513749,4,28,0,32,NA,0.156,22.41,480.902,NA
2024-07-31,"MAT06",3,"F2",2,16.61902513749,8,39.5,0,47.5,NA,0.592,115.222,543.036,NA
2024-07-31,"MAT06",3,"F2",3,16.61902513749,3,34.5,33.5,71,NA,0.277,17.871,516.38,NA
2024-07-31,"MAT06",3,"F2",4,16.61902513749,5,28,28,61,NA,0.488,9.229,56.417,NA
2024-07-31,"MAT06",3,"F5",1,16.61902513749,22,13,0,35,NA,0.122,13.566,198.076,NA
2024-07-31,"MAT06",3,"F5",2,16.61902513749,15,18,0,33,NA,0.013,23.227,206.795,NA
2024-07-31,"MAT06",3,"F5",3,16.61902513749,10,21.5,0,31.5,6.5,0.255,14.881,292.815,"Subtracted 6.5 cm from the listed 28 cm depth of mineral"
2024-07-31,"MAT06",3,"F5",NA,16.61902513749,14,42,0,56,NA,1.373,30.024,374.38,"Absolute nonsense amount of cores separated as best we could"
2024-07-31,"MAT06",3,"F10",1,16.61902513749,18,14,0,32,NA,0.025,11.11,50.116,NA
2024-07-31,"MAT06",3,"F10",2,16.61902513749,10,26,0,36,NA,0.012,12.26,251.401,NA
2024-07-31,"MAT06",3,"F10",3,16.61902513749,11.5,21.5,0,33,NA,0.876,22.775,101.263,NA
2024-07-31,"MAT06",3,"F10",4,16.61902513749,16,26,0,42,4,0.165,15.99,152.365,"Subtracted 4 cm from total depth (already did in printed sheet)"
