"site","block","treatment","horizon","nitrogen_percent","carbon_percent","notes"
"MAT06","1","CT","O",1.05353343486786,36.0804061889648,NA
"MAT06","1","F0.5","O",0.696846067905426,33.3515510559082,NA
"MAT06","1","F1","O",0.934843778610229,31.693941116333,NA
"MAT06","1","F2","O",1.24183464050293,32.5495452880859,NA
"MAT06","1","F5","O",0.750761985778809,23.1930961608887,NA
"MAT06","1","F10","O",1.41588449478149,34.9914360046387,NA
"MAT06","2","CT","O",0.94438511133194,29.6871776580811,NA
"MAT06","2","F0.5","O",0.823882520198822,32.3161392211914,NA
"MAT06","2","F1","O",1.10923540592194,31.576789855957,NA
"MAT06","2","F2","O",1.24211752414703,33.9820938110352,NA
"MAT06","2","F2","O",1.22936856746674,34.0487937927246,NA
"MAT06","2","F5","O",1.45507562160492,37.8403511047363,NA
"MAT06","2","F10","O",1.61392104625702,41.3941497802734,NA
"MAT06","3","CT","O",1.11222612857819,39.3608589172363,NA
"MAT06","3","F0.5","O",1.09423291683197,36.2139167785645,NA
"MAT06","3","F1","O",1.02920889854431,27.9106540679932,NA
"MAT06","3","F2","O",0.65618097782135,15.504545211792,NA
"MAT06","3","F5","O",1.50230360031128,40.7925453186035,NA
"MAT06","3","F10","O",1.50508892536163,40.1449432373047,NA
"MAT06","3","F10","O",1.48171508312225,40.0968246459961,NA
"MAT06","1","CT","M",0.158242285251617,3.41994738578796,NA
"MAT06","1","F0.5","M",0.137599557638168,3.13763236999512,NA
"MAT06","1","F1","M",0.143343687057495,3.26333141326904,NA
"MAT06","1","F2","M",0.156700685620308,3.29556202888489,NA
"MAT06","1","F5","M",0.152922183275223,3.61130023002625,NA
"MAT06","1","F10","M",0.226583153009415,4.76760244369507,NA
"MAT06","2","CT","M",0.480277210474014,8.60420513153076,NA
"MAT06","2","F0.5","M",0.221445932984352,4.57607889175415,NA
"MAT06","2","F1","M",0.208644762635231,4.2399959564209,NA
"MAT06","2","F2","M",0.251331299543381,5.04585027694702,NA
"MAT06","2","F2","M",0.236850589513779,4.69843673706055,NA
"MAT06","2","F5","M",0.215731889009476,4.50101089477539,NA
"MAT06","2","F10","M",0.4124416410923,7.99761056900024,NA
"MAT06","3","CT","M",0.267375290393829,5.20292997360229,NA
"MAT06","3","F0.5","M",0.15199014544487,2.66284990310669,NA
"MAT06","3","F1","M",0.544750273227692,9.3121166229248,NA
"MAT06","3","F2","M",0.175262078642845,3.34335374832153,NA
"MAT06","3","F5","M",0.181323394179344,2.9472861289978,NA
"MAT06","3","F10","M",0.247146144509315,4.77724885940552,NA
"MAT06","3","F10","M",0.240122184157372,4.66622829437256,NA
