"Block","Treatment","Quad","Core_surface_area_cm2","Organic_core_depth_cm","Mineral_core_depth_cm","Depth_from_mineral_to_permafrost_cm","Depth_of_core_to_permafrost_cm","Ice_depth_accidentally_cored_cm","Date_collected","Dry_mass_aboveground_g","Dry_mass_organic_horizon_g","Dry_mass_mineral_horizon_g","Soil_notes"
3,"CT","1",16.61902513749,14.5,"19.5",0,34,"NA",2024-07-31,"1.7649999999999999","1.137","182.02600000000001",NA
3,"CT","2",16.61902513749,9,"36",0,45,"NA",2024-07-31,"1.101","9.3680000000000003","222.03399999999999",NA
3,"CT","3",16.61902513749,15,"31",0,46,"NA",2024-07-31,"0.71299999999999997","17.010999999999999","128.166",NA
3,"CT","4",16.61902513749,7,"44",0,51,"NA",2024-07-31,NA,NA,NA,NA
3,"F0.5","1",16.61902513749,12.5,"NA",0,12.5,"2.5",2024-07-31,"0.89300000000000002","8.2449999999999992","NA","Subtracted 2.5 cm from total depth of 15 cm; all mineral is permafrost"
3,"F0.5","2",16.61902513749,9,"32",0,41,"NA",2024-07-31,"0.30199999999999999","13.583","325.31299999999999",NA
3,"F0.5","3",16.61902513749,12,"30",10,52,"NA",2024-07-31,"1.3",NA,"437.79300000000001",NA
3,"F0.5","4",16.61902513749,10,"18.5",0,28.5,"NA",2024-08-01,"0.46","15.419","148.50800000000001",NA
3,"F1","1",16.61902513749,9,"27",0,36,"NA",2024-07-31,"0.01","28.154","191.363",NA
3,"F1","2",16.61902513749,5,"25.5",0,30.5,"NA",2024-07-31,"0.13300000000000001","17.739000000000001","117.55800000000001",NA
3,"F1","3",16.61902513749,12,"21.5",0,33.5,"2.5",2024-07-31,"0.42799999999999999","11.64","67.912000000000006","Subtracted 2.5 cm from total mineral depth of 24 cm"
3,"F1","4",16.61902513749,10.5,"21",0,31.5,"NA",2024-07-31,"7.3999999999999996E-2","11.022","48.811999999999998",NA
3,"F2","1",16.61902513749,4,"28",0,32,"NA",2024-07-31,"0.156","22.41","480.90199999999999",NA
3,"F2","2",16.61902513749,8,"39.5",0,47.5,"NA",2024-07-31,"0.59199999999999997","115.22199999999999","543.03599999999994",NA
3,"F2","3",16.61902513749,3,"34.5",33.5,71,"NA",2024-07-31,"0.27700000000000002","17.870999999999999","516.38",NA
3,"F2","4",16.61902513749,5,"28",28,61,"NA",2024-07-31,"0.48799999999999999","9.2289999999999992","56.417000000000002",NA
3,"F5","1",16.61902513749,22,"13",0,35,"NA",2024-07-31,"0.122","13.566000000000001","198.07599999999999",NA
3,"F5","2",16.61902513749,15,"18",0,33,"NA",2024-07-31,"1.2999999999999999E-2","23.227","206.79499999999999",NA
3,"F5","3",16.61902513749,10,"21.5",0,31.5,"6.5",2024-07-31,"0.255","14.881","292.815","Subtracted 6.5 cm from the listed 28 cm depth of mineral"
3,"F5","4A?",16.61902513749,14,"42",0,56,"NA",2024-07-31,"1.373","30.024000000000001","374.38","Absolute nonsense amount of cores separated as best we could"
3,"F10","1",16.61902513749,18,"14",0,32,"NA",2024-07-31,"2.5000000000000001E-2","11.11","50.116",NA
3,"F10","2",16.61902513749,10,"26",0,36,"NA",2024-07-31,"1.2E-2","12.26","251.40100000000001",NA
3,"F10","3",16.61902513749,11.5,"21.5",0,33,"NA",2024-07-31,"0.876","22.774999999999999","101.26300000000001",NA
3,"F10","4",16.61902513749,16,"26",0,42,"4",2024-07-31,"0.16500000000000001","15.99","152.36500000000001","Subtracted 4 cm from total depth (already did in printed sheet)"
